,n_point,method,time[sec],TSP[m]
0,63,tsp-solver,0.27955,14452
1,1,tsp-solver,6e-05,0
2,1,tsp-solver,1e-05,0
3,7,tsp-solver,0.00335,28766
4,14,tsp-solver,0.01377,10818
5,35,tsp-solver,0.08824,23645
6,1,tsp-solver,2e-05,0
7,40,tsp-solver,0.11505,20706
8,19,tsp-solver,0.02605,11211
9,66,tsp-solver,0.30598,21151
10,7,tsp-solver,0.00338,16873
11,35,tsp-solver,0.09034,22913
13,70,tsp-solver,0.34258,20162
14,23,tsp-solver,0.03705,17604
15,15,tsp-solver,0.01621,11295
18,21,tsp-solver,0.03104,14064
20,13,tsp-solver,0.01159,7213
Sum,431,,1.3642699999999999,240873
